Identifier,Name,Downloaded,Risk
gomekmidlodglbbmalcneegieacbdmki,Avast Online Security & Privacy,6000000,Leak
lgblnfidahcdcjddiepkckcfdhpknnjh,Ad Blocker_ Stands AdBlocker,3000000,Leak
bkkbcggnhapdmkeljlodobbkopceiche,Pop up blocker for Chrome™ - Poper Blocker,2000000,Leak
fjnbnpbmkenffdnngjfgmeleoegfcffe,Stylish - Custom themes for any website,2000000,Leak
akdgnmcogleenhbclghghlkkdndkjdjc,SEOquake,1000000,Leak
eiimnmioipafcokbfikbljfdeojpcgbh,BlockSite Block Websites & Stay Focused,1000000,Leak
hoklmmgfnpapgjgcpechhaamimifchmp,Similarweb - Website Traffic & SEO Checker,1000000,Leak
njgehaondchbmjmajphnhlojfnbfokng,Video Downloader PLUS,1000000,Leak
nllcnknpjnininklegdoijpljgdjkijc,Wordtune_ AI Paraphrasing and Grammar Tool,1000000,Leak
bhmmomiinigofkjcapegjjndpbikblnp,WOT_ Website Security & Safety Checker,800000,Leak
edjkecefjhobekadlkdkopkggdefpgfp,Smarty,800000,Leak
aefehdhdciieocakfobpaaolhipkcpgc,Simple Allow Copy,700000,Leak
gbdjcgalliefpinpmggefbloehmmknca,Ad block & Adblocker - No Ads extension,700000,Leak
gjfpmkejnolcfklaaddjnckanhhgegla,Guardio Protection for Chrome,700000,Leak
jlgkpaicikihijadgifklkbpdajbkhjo,CrxMouse_ Mouse Gestures,700000,Leak
nbmoafcmbajniiapeidgficgifbfmjfo,AVG Online Security,600000,Leak
ojplmecpdpgccookcobabopnaifgidhf,Price History & Tracker_ Spend Lens_ Buyhatke,600000,Leak
jajikjbellknnfcomfjjinfjokihcfoi,Adblock for YouTube & Chrome - All Block,500000,Leak
bmhcbmnbenmcecpmpepghooflbehcack,Liner_ ChatGPT AI Copilot for Web&YouTube&PDF,400000,Leak
dgjbaljgolmlcmmklmmeafecikidmjpi,Adblock Ad Blocker Pro,400000,Leak
fofjcndophjadilglgimelemjkjblgpf,ZoomInfo Chrome Extension,400000,Leak
ihmgiclibbndffejedjimfjmfoabpcke,Mate Translate – translator_ dictionary,400000,Leak
jaembmdeobjibglbnnefpalabeohjpnj,Audio editor online Audacity,400000,Leak
pnedebpjhiaidlbbhmogocmffpdolnek,CouponBirds - SmartCoupon Coupon Finder,400000,Leak
fonalplhodhnenmokepaijoemaednpjm,Directo - Travel Deals - Save on Fees,300000,Leak
kiodaajmphnkcajieajajinghpejdjai,Popup Blocker Pro,300000,Leak
lnhnebkkgjmlgomfkkmkoaefbknopmja,ApkOnline APK manager for Android emulator,300000,Leak
mnoiedledcncagkonmmhbenokojeciib,Tesla Search,300000,Leak
necpbmbhhdiplmfhmjicabdeighkndkn,Similar Sites - Discover Related Websites,300000,Leak
nfadicbbecgbdbgbibgflooojfbolpgk,Pie Shopping_ Cash Back and Coupons,300000,Leak
