Identifier,Name,Downloaded,Risk
mabbblhhnmlckjbfppkopnccllieeocp,AliExpress Invoice Generator (FREE) - AliInvoice,0,Stealer
loiofaagnefbonjdjklhacdhfkolcfgi,AliExpress Price Tracker - Price History & Alerts,0,FakeAI
mcaglpclodnaiimhicpjemhcinjfnjce,AliExpress Quick Currency & Price Converter,0,Stealer
jmlgkeaofknfmnbpmlmadnfnfajdlehn,AliExpress Deals Countdown - Flash Sale Timer,0,Stealer
ahlnchhkedmjbdocaamkbmhppnligmoh,10Xprofit - Amazon Seller Tools,0,Stealer
pnpchphmplpdimbllknjoiopmfphellj,Amazon Ads Blocker,0,Stealer
ljcgnobemekghgobhlplpehijemdgcgo,Amazon ASIN Lookup 10xprofit,0,Stealer
dnmfcojgjchpjcmjgpgonmhccibjopnb,Amazon Search Suggestion,0,Stealer
mnacfoefejolpobogooghoclppjcgfcm,Amazon Product Scraper 10xprofit,0,Stealer
nigamacoibifjohkmepefofohfedblgg,Amazon Quick Brand Search,0,Stealer
johobikccpnmifjjpephegmfpipfbfme,Amazon Stock Checker 999,0,Stealer
kppfbknppimnoociaomjcdgkebdmenkh,Amazon Price History Saver,0,Stealer
aohfjaadlbiifnnajpobdhokecjokhab,Amazon ASIN Copy,0,Stealer
gfdbbmngalhmegpkejhidhgdpmehlmnd,Amazon Keyword Cloud Generator,0,Stealer
cpcojeeblggnjjgnpiicndnahfhjdobd,Amazon Image Downloader,0,Stealer
hkkkipfcdagiocekjdhobgmlkhejjfoj,Amazon Negative Review Hider,0,Stealer
jaojpdijbaolkhkifpgbjnhfbmckoojh,Amazon Listing Score Checker,0,Stealer
ekomkpgkmieaaekmaldmaljljahehkoi,Amazon Keyword Density Searcher,0,Stealer
hkhmodcdjhcidbcncgmnknjppphcpgmh,Amazon Sticky Notes,0,Stealer
nipfdfkjnidadibpbflijepbllfkokac,Amazon Result Numbering,0,Stealer
behckapcoohededfbgjgkgefgkpodeho,Amazon Profit Calculator Lite,0,Stealer
dfnannaibdndmkienngjahldiofjbkmj,Amazon Weight Converter,0,Stealer
nhilffccdbcjcnoopblecppbhalagpaf,Amazon BSR Fast View,0,Stealer
goikoilmhcgfidolicnbgggdpckdcoam,Amazon Character Count & Seller Tools,0,Stealer
mjcgfimemamogfmekphcfdehfkkbmldn,Amazon Global Price Checker,0,Stealer
nppjmiadmakeigiagilkfffplihgjlec,BestBuy Search By Image,0,Stealer
mpgaodghdhmeljgogbeagpbhgdbfofgb,SHEIN Search By Image,0,Stealer
gjlbbcimkbncedhofeknicfkhgaocohl,Shopify Search By Image ,0,Stealer
mcaihdkeijgfhnlfcdehniplmaapadgb,Walmart Search By Image,0,Stealer
flkebkiofojicogddingbdmcmkpbplcd,Search for perplexity ai,0,FakeAI
cmedhionkhpnakcndndgjdbohmhepckk,Adblock for Youtube,10000000,DormantScript
